,Domain_Name,Org_Number,Company,Reg_Date,Website
171,norskregnskap.no,993559342,SAGA PARK SAMEIE,2009-01-28,norskregnskap.no
172,norskregnskap.no,982339669,NORSK REGNSKAP AS,2000-09-08,norskregnskap.no
173,norskregnskap.no,952584006,NORSK REGNSKAP OSLO AS,1995-02-19,norskregnskap.no
189,norsvin.no,983568823,GENINOVA AS,2001-08-04,norsvin.no
190,norsvin.no,975726797,NORSVIN TELEMARK,1996-03-07,norsvin.no
191,norsvin.no,956971322,NORSVIN SA,1995-02-19,norsvin.no
194,orkester.no,971518693,DE UNGES ORKESTERFORBUND,1995-02-20,orkester.no
195,orkester.no,979537883,DE UNGES ORKESTERFORBUND NORD-NORGE,1999-02-17,orkester.no
196,orkester.no,977363535,DE UNGES ORKESTERFORBUND OSLO,1997-04-04,orkester.no
224,pol.oslo.no,912597288,POL HOLDING AS,2013-10-17,pol.oslo.no
225,pol.oslo.no,912671941,T/A POL AS,2013-11-02,pol.oslo.no
295,promenadenmanagement.no,992890304,EGER MAGASIN RÅD AS,2008-07-14,promenadenmanagement.no
296,promenadenmanagement.no,879557372,NEDRE SLOTTSGT 23 NÆRING AS,1998-02-02,promenadenmanagement.no
297,promenadenmanagement.no,911965658,PROMENADEN PROPERTY AS,2013-05-21,promenadenmanagement.no
298,promenadenmanagement.no,913494415,ØS 10 EIENDOM AS,2014-04-10,promenadenmanagement.no
299,promenadenmanagement.no,990507821,PROMENADEN EGERTORGET AS,2006-11-27,promenadenmanagement.no
302,proplan.no,959472823,PROPLAN AS,1995-02-20,proplan.no
303,proplan.no,966786094,PROPLAN UTVIKLING AS,1995-02-20,proplan.no
311,prostatakreft.no,994443925,PROFO - PROSTATAKREFTFORENINGEN BERGEN,2009-08-24,prostatakreft.no
312,prostatakreft.no,913636740,PROSTATAKREFTFORENINGEN STAVANGER & OMEGN,2014-05-15,prostatakreft.no
313,prostatakreft.no,987509791,PROSTATAKREFTFORENINGEN (PROFO),2006-07-29,prostatakreft.no
314,prostatakreft.no,988054550,PROFO NORDMØRE OG ROMSDAL,2005-04-09,prostatakreft.no
316,protector.no,986581332,CONSOLVO EIENDOM AS,2004-02-18,protector.no
317,protector.no,979640366,PROTECTOR AS,1998-02-24,protector.no
326,proventure.no,989765191,PROVENTURE MANAGEMENT AS,2006-05-03,proventure.no
327,proventure.no,915684769,PROVENTURE MANAGEMENT II AS,2015-07-20,proventure.no
328,proventure.no,913391136,PROVENTURE SEED II AS,2014-04-01,proventure.no
334,psoriasis.no,984069731,"PSORIASIS OG EKSEMFORBUNDET , BODØ OG OMENG",2003-06-05,psoriasis.no
335,psoriasis.no,994848100,PSORIASIS- OG EKSEMFORBUNDET NAMDAL,2009-12-12,psoriasis.no
336,psoriasis.no,993616095,PEF LEVANGER OG OMEGN,2009-02-21,psoriasis.no
340,psykia.no,990000115,PSYKIA AS,2006-07-12,psykia.no
341,psykia.no,923156046,PSYKIA DRIFT AS,2019-08-02,psykia.no
343,psykologbehandling.no,897191822,NORSK SENTER FOR SKJEMATERAPI DA,2011-08-05,psykologbehandling.no
344,psykologbehandling.no,913821548,PSYKOLOGISK KOMMUNIKASJON OG MEDIA AS,2014-06-27,psykologbehandling.no
354,publicom.no,988988448,PUBLICOM HOLDING AS,2006-01-09,publicom.no
355,publicom.no,980913740,PUBLICOM AS,1999-08-11,publicom.no
231,redcross.no,993527572,GJØVIK RØDE KORS,2009-01-14,redcross.no
232,redcross.no,971461268,LYNGDAL RØDE KORS,1995-02-20,redcross.no
233,redcross.no,979449690,VATS RØDE KORS HJELPEKORPS,2008-01-16,redcross.no
234,redcross.no,986377131,NORGES RØDE KORS HUMANITÆRE FOND,2004-01-07,redcross.no
249,regnskapnorge.no,985196087,REGNSKAP NORGE AS,2002-12-21,regnskapnorge.no
250,regnskapnorge.no,871278342,REGNSKAP NORGE,1995-02-20,regnskapnorge.no
261,reinhartsen.no,917238812,FISKEEKSPERTEN REINHARTSEN AS,2016-05-28,reinhartsen.no
262,reinhartsen.no,914171113,REINHARTSEN AS,2014-09-17,reinhartsen.no
263,reinhartsen.no,995954702,REINHARTSEN BASAR AS,2010-09-20,reinhartsen.no
264,reinhartsen.no,984122519,REINHARTSEN DELIKATESSE AS,2002-01-24,reinhartsen.no
265,reinhartsen.no,995721309,REINHARTSEN ENGROS AS,2010-07-08,reinhartsen.no
266,reinhartsen.no,995963175,REINHARTSEN HOLDING AS,2010-09-21,reinhartsen.no
268,reinli.no,984637403,REINTUN FORSAMLINGSHUS SA,2002-07-24,reinli.no
269,reinli.no,917505640,REINLI GRENDEUTVALG,2017-01-04,reinli.no
271,reisegnister.no,990802572,REISEGNISTER.NO Monique van Dijk Seppola,2007-02-03,reisegnister.no
272,reisegnister.no,994895079,REISEGNISTER AS,2009-12-15,reisegnister.no
276,rejlers.no,912862771,NITO BEDRIFTSGRUPPE REJLERS,2013-12-10,rejlers.no
277,rejlers.no,811942162,REJLERS BIL,2013-05-29,rejlers.no
396,shengzhen.no,994042270,SHENG ZHEN QIGONG-Birgit Torkehagen,2009-05-04,shengzhen.no
397,shengzhen.no,984370199,INTERNATIONAL SHENG ZHEN SOCIETY NORGE,2002-04-17,shengzhen.no
400,shipnet.no,976567897,BRILLIAN GROUP AS,1996-07-08,shipnet.no
401,shipnet.no,968111337,INCHCAPE SHIPPING SERVICES (NORWAY) AS,1995-02-20,shipnet.no
408,showlab.no,913186923,SHOWLAB AS,2014-02-12,showlab.no
409,showlab.no,914863678,SHOWLAB OSLO AS,2015-01-26,showlab.no
410,shuffleboard.no,919827149,BERGEN SHUFFLEBOARD KLUBB,2017-11-10,shuffleboard.no
411,shuffleboard.no,998816912,NORGES SHUFFLEBOARD FORBUND,2012-09-19,shuffleboard.no
412,sia.no,992697601,SIA B.I.L,2008-05-23,sia.no
413,sia.no,950437537,STUDENTSAMSKIPNADEN I AGDER,1995-03-12,sia.no
414,sibe.no,912777030,BYGG RENHOLD AS,2013-11-20,sibe.no
415,sibe.no,994637282,SIKKER BEMANNING AS,2009-10-14,sibe.no
423,sigdalkirke.no,976990102,EGGEDAL SOKN,1997-01-27,sigdalkirke.no
424,sigdalkirke.no,976990099,SIGDAL SOKN,1997-01-27,sigdalkirke.no
425,sigdalkirke.no,976990110,SIGDAL KIRKELIGE FELLESRÅD,1997-01-27,sigdalkirke.no
433,signaturklinikken.no,921117183,SIGNATURKLINIKKEN STRØMMEN AS,2018-07-04,signaturklinikken.no
434,signaturklinikken.no,914861500,SIGNATURKLINIKKEN AS,2015-01-29,signaturklinikken.no
443,sikirken.no,976999290,ALSTADHAUG SOKN,1997-01-27,sikirken.no
444,sikirken.no,976999312,EKNE SOKN,1997-01-27,sikirken.no
445,sikirken.no,976999223,FROSTA SOKN,1997-01-27,sikirken.no
446,sikirken.no,976999274,LEVANGER SOKN,1997-01-27,sikirken.no
447,sikirken.no,976999304,MARKABYGD SOKN,1997-01-27,sikirken.no
448,sikirken.no,976999266,OKKENHAUG SOKN,1997-01-27,sikirken.no
449,sikirken.no,976999355,VINNE SOKN,1997-01-27,sikirken.no
450,sikirken.no,976999282,YTTERØY SOKN,1997-01-27,sikirken.no
451,sikirken.no,976999320,ÅSEN SOKN,1997-01-27,sikirken.no
452,sikirken.no,976999371,VERA OG VUKU SOKN,1997-01-27,sikirken.no
481,siv.no,983975259,SYKEHUSET I VESTFOLD HF,2001-12-19,siv.no
482,siv.no,998523494,FELLESLEGATET TIL SYKEHUSET I VESTFOLD HF,2012-08-14,siv.no
485,sjakk.no,926683926,BJØRN-KRISTIAN BJØRNSENS FOND,2021-04-08,sjakk.no
486,sjakk.no,971286474,NORGES SJAKKFORBUND,1995-02-20,sjakk.no
487,sjakk.no,971286466,UNGDOMMENS SJAKKFORBUND,1995-02-20,sjakk.no
489,sjamanforbundet.no,813680602,SJAMANISTISK FORBUND OSLO OG VIKEN,2014-05-27,sjamanforbundet.no
490,sjamanforbundet.no,916515332,SJAMANISTISK FORBUND VESTFOLD & TELEMARK,2016-01-15,sjamanforbundet.no
492,sjemmedal.no,994968483,SJEMMEDAL EIENDOM AS,2010-01-09,sjemmedal.no
493,sjemmedal.no,985445583,SJEMMEDALHYTTA AS,2003-03-01,sjemmedal.no
504,sjomatnorge.no,984155492,SJØMAT NORGES SERVICEKONTOR,2002-04-03,sjomatnorge.no
505,sjomatnorge.no,974461021,SJØMAT NORGE,1995-05-30,sjomatnorge.no
506,sjooff.no,974266997,NORSK SJØOFFISERSFORBUND,1995-03-12,sjooff.no
507,sjooff.no,913659201,NSOF NORSK SJØOFFISERS FORBUND AVD FJORD1,2014-06-25,sjooff.no
508,sjoparken.no,994853643,AGNES 1 AS,2009-12-18,sjoparken.no
509,sjoparken.no,991051570,AGNES BOLIGUTVIKLING AS,2007-03-31,sjoparken.no
510,sjoparken.no,987549432,AGNES UTVIKLING AS,2004-12-15,sjoparken.no
511,sjoparken.no,994853503,AGNES 2 AS,2009-12-04,sjoparken.no
518,skaaret.no,984807945,BLAKSTADMARKA 26 AS,2002-09-03,skaaret.no
519,skaaret.no,970983295,SKAARET LANDSKAP AS,1995-02-20,skaaret.no
523,skagerak-trepleie.no,970556362,PEDER AARØ,1995-02-20,skagerak-trepleie.no
524,skagerak-trepleie.no,980605876,SKAGERAK TREPLEIE HERMAN TÆRUD,1999-03-25,skagerak-trepleie.no
538,skarsnutenhotel.no,986181350,SKARSNUTEN HOTELL AS,2003-10-27,skarsnutenhotel.no
539,skarsnutenhotel.no,986181342,SKARSNUTEN HOTELLDRIFT AS,2003-10-27,skarsnutenhotel.no
541,skarvhytta.no,984635974,INGAR DALEN AS,2002-06-28,skarvhytta.no
542,skarvhytta.no,820320832,REINE UTVIKLING AS,2018-01-26,skarvhytta.no
546,skb.no,998235022,KONG OSCARSGATE 26 AS,2012-04-12,skb.no
547,skb.no,915893902,SKB VEST AS,1995-03-12,skb.no
548,skb.no,816296692,STRANDGATEN 221 AS,2015-11-25,skb.no
553,skedsmoskolekorps.no,998495660,SKEDSMO DRILL,2012-06-14,skedsmoskolekorps.no
554,skedsmoskolekorps.no,971267003,SKEDSMO SKOLEKORPS,1995-02-20,skedsmoskolekorps.no
555,skeiendom.no,984118716,BOLIGSAMEIET SOPHUS LIES GATE 6 B,2002-02-14,skeiendom.no
556,skeiendom.no,984789971,SAMEIET GLÜCKSTADSGT 5,2002-09-11,skeiendom.no
557,skeiendom.no,983099165,THERESES GATE 47 SAMEIE,2001-04-04,skeiendom.no
558,skeiendom.no,971268050,SAMEIET A TIDEMANDSGT 20/22,1995-02-20,skeiendom.no
561,skeivungdom.no,915376649,SKEIV UNGDOM OPPLAND,2015-05-13,skeivungdom.no
562,skeivungdom.no,987184086,SKEIV UNGDOM,2004-11-09,skeivungdom.no
563,skeivungdom.no,993457590,SKEIV UNGDOM FINNMARK,2009-01-08,skeivungdom.no
565,skgemballasje.no,992475277,SKG EMBALLASJE AS,2008-03-31,skgemballasje.no
566,skgemballasje.no,981009096,SKG EMBALLASJE DA,1999-08-24,skgemballasje.no
568,skibsgaarden.no,880351702,SKIBSGÅRDEN SENTERDRIFT AS,1998-12-21,skibsgaarden.no
569,skibsgaarden.no,963768346,SKIBSGÅRDEN AS,1995-02-20,skibsgaarden.no
570,skiel.no,946067105,SKI ELEKTRISKE AS,1995-02-19,skiel.no
571,skiel.no,948248638,Ski Elektriske Installasjon A/S,1995-02-19,skiel.no
573,skienfritidspark.no,993551317,SKIEN FRITIDSPARK KF BEDRIFTSIDRETTSLAG,2009-08-26,skienfritidspark.no
574,skienfritidspark.no,990522839,SKIEN FRITIDSPARK KF,2006-12-12,skienfritidspark.no
580,skigk.no,976233751,GOLFPROENE ANS,1996-03-26,skigk.no
581,skigk.no,980947211,SKI GOLFKLUBB,1999-09-27,skigk.no
590,skinnarbu.no,916173288,DESTINASJON SKINNARBU AS,2015-11-02,skinnarbu.no
591,skinnarbu.no,997676335,SKINNARBU NASJONALPARKHOTELL AS,2011-12-02,skinnarbu.no
592,skinnarbu.no,966148284,SKINNARBU EIENDOM AS,1995-02-20,skinnarbu.no
595,skipavika.no,998282322,SKIPAVIKA NÆRINGSPARK AS,2012-04-23,skipavika.no
596,skipavika.no,913039459,SKIPAVIKA TERMINAL AS,2014-01-07,skipavika.no
608,skjeloyslipp.no,987431865,SKJÆLØY SLIPP AS,2004-11-01,skjeloyslipp.no
609,skjeloyslipp.no,997538196,SKJÆLØY BRYGGESELSKAP AS,2011-11-01,skjeloyslipp.no
611,skjerviken.no,989276700,SKJERVIKEN AS,2006-02-16,skjerviken.no
612,skjerviken.no,986368094,SKJERVIKEN RØR AS,2004-01-08,skjerviken.no
624,skogli.no,980973557,SKOGLI EIENDOM AS,1999-08-31,skogli.no
625,skogli.no,980973549,SKOGLI HELSE OG REHABILITERINGSSENTER AS,1999-08-31,skogli.no
626,skogmus.no,970964002,NORSK SKOGMUSEUM,1995-03-12,skogmus.no
627,skogmus.no,977116899,STIFTELSEN FELLESFORBUNDETS TRE- FOREDLINGSFOND,1997-02-22,skogmus.no
628,skogmus.no,976009290,STIFTELSEN NORSK PAPIRINDUSTRI- ARBEIDERFORBUNDS MINNEFOND,1996-01-18,skogmus.no
640,skosenteret.no,921124651,SUSANNE-SØREN GADE NORGE,2018-07-26,skosenteret.no
641,skosenteret.no,957946526,SKOSENTERET AS,1995-02-19,skosenteret.no
642,skotvedt.no,919534281,SKOTVEDT ASKER OG BÆRUM AS,1995-03-12,skotvedt.no
643,skotvedt.no,914619890,SKOTVEDT DRAMMEN AS,2014-12-22,skotvedt.no
653,sks.no,915637353,SKS PRODUKSJON AS,1995-03-12,sks.no
654,sks.no,985592128,SALTEN KRAFTSAMBAND AS,2003-05-08,sks.no
656,skuespillerforbund.no,977128129,ALMA OG JOHAN FAHLSTRØMS FOND,1997-02-24,skuespillerforbund.no
657,skuespillerforbund.no,996991873,KIM-DANIEL SANNES,2011-07-30,skuespillerforbund.no
668,slag.no,998709202,LANDSFORENINGEN FOR SLAGRAMMEDE AGDER (LFS AGDER),2012-09-04,slag.no
669,slag.no,985733260,LANDSFORENINGEN FOR SLAGRAMMEDE AVD TELEMARK,2003-07-26,slag.no
671,slatlem.no,898874362,SLATLEM BILPLAN AS,2012-09-24,slatlem.no
672,slatlem.no,931564285,SLATLEM GRUPPEN AS,1995-02-19,slatlem.no
673,slatlem.no,999552471,SLATLEM KRISTIANSUND AS,2013-01-19,slatlem.no
689,smabrukarlaget.no,974237644,HEDMARK BONDE OG SMÅBRUKARLAG,1995-03-12,smabrukarlaget.no
690,smabrukarlaget.no,871310572,BUSKERUD BONDE- OG SMÅBRUKARLAG,1995-02-20,smabrukarlaget.no
691,smabrukarlaget.no,970167943,NORSK BONDE- OG SMÅBRUKARLAG,1995-02-20,smabrukarlaget.no
693,smakavitalia.no,993037389,SMAK AV ITALIA Cristiano Comelli,2008-09-01,smakavitalia.no
694,smakavitalia.no,994465406,SMAK AV ITALIA AS,2009-09-09,smakavitalia.no
696,smalde.no,989202502,MALDE REVISJON & RÅDGIVNING ANS,2006-02-09,smalde.no
697,smalde.no,985873666,SAMEIET VESTVÅGEN,2003-08-01,smalde.no
698,smalde.no,986402683,SAMEIET AADNØYGAARDEN,2004-03-01,smalde.no
703,smartgridservices.no,912571351,SMART GRID SERVICES CLUSTER,2014-09-25,smartgridservices.no
704,smartgridservices.no,925011126,SMART GRID SERVICES SA,2020-05-05,smartgridservices.no
713,smco.no,916498292,ADVOKAT ARVID SJØDIN,2015-12-31,smco.no
714,smco.no,927214814,ADVOKAT ARVID SJØDIN AS,2021-06-07,smco.no
715,smco.no,990781451,ADVOKATFIRMAET MELING AS,2007-01-24,smco.no
722,smietorget.no,870432232,SMIETORGET MARKEDSFØRINGSFORENING,1995-02-20,smietorget.no
723,smietorget.no,996556840,SMIETORGET SENTERFORENING,2011-02-14,smietorget.no
724,smietorget.no,998682886,SMIETORGET BUTIKKDRIFT AS,2012-08-08,smietorget.no
725,smihuset.no,995323818,SMIHUSET AS,2010-03-23,smihuset.no
726,smihuset.no,992168048,SMIHUSET EIENDOM AS,2008-01-28,smihuset.no
744,snolys.no,996037428,SNØLYS SA,2010-10-28,snolys.no
745,snolys.no,919307692,SNØLYS DESIGN AS,2017-07-27,snolys.no
749,snsk.no,984015097,STORE NORSKE SPITSBERGEN GRUBEKOMPANI AS,2002-01-17,snsk.no
750,snsk.no,916300395,Store Norske Spitsbergen Kulkompani AS,1995-03-12,snsk.no
752,sobbl.no,930429724,BOLIGSELSKAPET OSKARSGATE 14 OG 16 AS,1995-02-19,sobbl.no
753,sobbl.no,994520431,FRITZNERKVARTALET 1 BORETTSLAG,2009-09-24,sobbl.no
754,sobbl.no,997510712,RÅDALEN BOLIGSAMEIE II,2012-09-24,sobbl.no
755,sobbl.no,994963821,SOBBL EIENDOMSMEGLING AS,2010-01-07,sobbl.no
756,sobbl.no,984736339,HEIERGÅRDEN AS,2002-09-07,sobbl.no
757,sobbl.no,848720712,SARPSBORG OG OMEGNS BOLIGBYGGELAG,1995-02-19,sobbl.no
759,soeiendom.no,979876475,FRYSJAPARKEN EIENDOM AS,1998-05-26,soeiendom.no
760,soeiendom.no,916697104,KNUD BRYNS VEI 1 AS,2016-02-08,soeiendom.no
767,sognekraft.no,990395209,OFFERDAL KRAFTVERK AS,2007-01-04,sognekraft.no
768,sognekraft.no,925904937,SOGNEKRAFT MOR AS,2020-11-03,sognekraft.no
769,sognekraft.no,813442612,VADHEIM KRAFT AS,2014-03-29,sognekraft.no
798,solid.no,911829169,AS FREDRIKSTAD STENHUGGERI,1995-03-12,solid.no
799,solid.no,989189891,SOLID GRUPPEN AS,2006-01-10,solid.no
800,solid.no,886700962,SOLID PROSJEKT AS,2004-03-24,solid.no
801,solid.no,874901512,SPINN AS,1995-08-15,solid.no
802,solid.no,977265525,SOLID ENTREPRENØR AS,1997-02-21,solid.no
810,soloneiendom.no,966033967,SOLON EIENDOM ASA,1995-02-20,soloneiendom.no
811,soloneiendom.no,941460429,SOLON SØRVEST AS,1995-02-19,soloneiendom.no
812,soloneiendom.no,990538794,SØNSTERUDVEIEN 30 AS,2006-11-29,soloneiendom.no
823,solvtrans.no,986221719,SØLVTRANS MANAGEMENT AS,2003-11-22,solvtrans.no
824,solvtrans.no,992797339,SØLVTRANS REDERI AS,2008-06-18,solvtrans.no
825,solvtrans.no,919412143,SØLVTRANS WELLBOAT AS,2017-10-09,solvtrans.no
826,solvtrans.no,918612572,SILVER EQUIPMENT AS,2017-02-28,solvtrans.no
827,solvtrans.no,961360560,SØLVTRANS AS,1995-02-20,solvtrans.no
828,solvtrans.no,920771688,SØLVTRANS WELLBOAT OPERATION AS,2018-05-09,solvtrans.no
829,solvtrans.no,919412070,WELLBOAT HOLDING AS,2017-10-11,solvtrans.no
842,soongolf.no,916374496,SAMEIET KLUBBHUSET PÅ SOON GOLFBANE,2015-12-11,soongolf.no
843,soongolf.no,989364812,SOON GOLFBANE AS,2006-01-31,soongolf.no
846,soppognyttevekster.no,993770299,ELVERUM SOPP- OG NYTTEVEKSTFORENING,2009-02-21,soppognyttevekster.no
847,soppognyttevekster.no,996514501,GRENLAND SOPPFORENING,2011-02-07,soppognyttevekster.no
848,soppognyttevekster.no,940593336,NORGES SOPP- OG NYTTEVEKSTFORBUND,1995-02-20,soppognyttevekster.no
854,sorenga.no,991925740,SØRENGA UTVIKLING AS,2007-11-09,sorenga.no
855,sorenga.no,991925716,SØRENGA UTVIKLING KS,2007-11-09,sorenga.no
862,sorlandsadvokatene.no,917000743,ADVOKAT HILDE ULLAND,2016-04-11,sorlandsadvokatene.no
863,sorlandsadvokatene.no,997050894,ADVOKAT KRISTINE EIDE,2011-06-21,sorlandsadvokatene.no
864,sorlandsadvokatene.no,890699502,ADVOKATFIRMA SVERRE NORDMO,2007-01-11,sorlandsadvokatene.no
865,sorlandsadvokatene.no,986546049,ADVOKATFIRMAET TORE ØYDNE,2004-02-11,sorlandsadvokatene.no
866,sorlandsadvokatene.no,885722512,SØRLANDSADVOKATENE DA,2003-06-14,sorlandsadvokatene.no
867,sorlandsadvokatene.no,950959932,ADVOKAT PER OVE TØNNESSEN,1995-02-19,sorlandsadvokatene.no
868,sorlandsbadet.no,992109629,NÆSS FYSIKALSKE,2008-01-04,sorlandsbadet.no
869,sorlandsbadet.no,988417106,SØRLANDSBADET AS,2005-07-05,sorlandsbadet.no
872,sorlie.no,988989398,DAMPSKIPSBRYGGEN 8 AS,2005-12-05,sorlie.no
873,sorlie.no,929115384,GLOMMEN BRYGGE AS,1995-02-19,sorlie.no
874,sorlie.no,982023203,TUNEVEIEN 89 AS,2000-05-26,sorlie.no
875,sorlie.no,990222479,NYGAARDSGATA 55 AS,2006-09-06,sorlie.no
876,sorlie.no,921150679,SØRLIE NÆRINGSEIENDOM AS,2018-07-11,sorlie.no
879,soroptimistnorway.no,914828988,BÆRUM SOROPTIMISTKLUBB,2015-01-29,soroptimistnorway.no
880,soroptimistnorway.no,993224650,OSLO-NORDSTRAND SOROPTIMISTKLUBB,2008-11-13,soroptimistnorway.no
881,soroptimistnorway.no,994185446,MOLDE SOROPTIMISTKLUBB,2009-06-08,soroptimistnorway.no
882,soroptimistnorway.no,986400338,NORSK SOROPTIMA,2004-01-17,soroptimistnorway.no
883,soroptimistnorway.no,984881185,SOROPTIMIST INTERNATIONAL NORGESUNIONEN,2002-10-29,soroptimistnorway.no
